21-Mar-21,#334,#436,#518,#373,,
29-Jan-23,87,265,450,294,44,453
5-Feb-23,484,365,538,155,447,488
12-Feb-23,331,31,411,139,293,666
19-Feb-23,334,258,436,626,479,44
26-Feb-23,317,365,233,83,663,504
5-Mar-23,531,107,306,541,91a,91b
12-Mar-23,347,394,518,397,44,500
19-Mar-23,334,436,518,399,478,489
26-Mar-23,290,620,450,541,499,435
2-Apr-23,614,623,137,677,619,484
9-Apr-23,631,619,411,635,412,482
16-Apr-23,294,626,39,447,44,453
23-Apr-23,344,365,306,461,478,399
30-Apr-23,334,31,258,436,373,489
7-May-23,335,83,677,137,293,282
14-May-23,484,80,233,436,479,44
21-May-23,641,107,662,447,663,504
28-May-23,656,233,641,662,91a,91b
4-Jun-23,337,365,170,453,44,482
11-Jun-23,301,619,414,155,478,461
18-Jun-23,335,697,278,436,499,399
25-Jun-23,407,83,418,399,504,479 a & b
2-Jul-23,334,233,364,83,482,44
9-Jul-23,414,41,373,327,412,435
16-Jul-23,16,80,447,166,83,453
23-Jul-23,139,255,412,83,499,327
30-Jul-23,335,107,290,41,42,44
6-Aug-23,16,365,278,45,453,531
13-Aug-23,347,256,500,461,478,488
20-Aug-23,334,41,450,346,44,393
27-Aug-23,294,80,137,373,83,489
3-Sep-23,185,619,449,541,500,499
10-Sep-23,335,255,435,49a&b,35,626
17-Sep-23,327,620,239,541,478,453
24-Sep-23,16,365,233,531,500,489
1-Oct-23,347,11,258,155,504,499
8-Oct-23,181a & b,306,414,407,399,393
15-Oct-23,335,11,386,399,499,233
22-Oct-23,334,83,710,468,453,531
29-Oct-23,294,107,407,541,478,258
5-Nov-23,137,229,435,540,626,83
12-Nov-23,414,80,686,399,453,531
19-Nov-23,676,619,239,290,44,686
26-Nov-23,294,558,546,193,561,461
3-Dec-23,555,564,554,570,579,586
10-Dec-23,572,547,573,579,587,555
17-Dec-23,566,561,547,39,580,593
24-Dec-23,567,564,608,566,579,577
31-Dec-23,600,580,596,252,587,586
,,,,,,
7-Jan-24,290,365,686,600,623,193
14-Jan-24,414,620,436,600,626,83
21-Jan-24,337,229,327,386,306,489
28-Jan-24,346,365,239,468,478,482
4-Feb-24,294,265,450,538,44,453
11-Feb-24,484,365,538,155,447,488
18-Feb-24,185,31,411,468,293,666
25-Feb-24,334,258,436,626,479,44
3-Mar-24,317,107,233,83,482,504
10-Mar-24,531,418,306,518,91a,91b
17-Mar-24,347,450,518,461,44,500
24-Mar-24,290,418,614,399,478,489
31-Mar-24,631,620,351,641,499,435
7-Apr-24,16,351,45,677,619,484
14-Apr-24,334,619,137,233,412,482
21-Apr-24,294,626,351,60,44,453
28-Apr-24,344,371,306,62,478,399
5-May-24,334,31,288,436,373,489
12-May-24,641,83,207,137,531,666
19-May-24,656,80,662,541,479,44
26-May-24,335,107,641,65,504,83
2-Jun-24,484,418,233,399,91a,91b
9-Jun-24,337,365,170,71,44,482
16-Jun-24,301,619,414,155,478,461
23-Jun-24,335,365,278,436,499,399
30-Jun-24,407,83,364,75a & b,504,479 a & b
7-Jul-24,334,233,290,83,482,44
14-Jul-24,414,41,373,80,412,435
21-Jul-24,16,80,447,166,83,453
28-Jul-24,139,255,412,83,499,327
4-Aug-24,335,107,290,41,42,44
11-Aug-24,16,365,278,45,453,531
18-Aug-24,347,256,500,461,478,488
25-Aug-24,334,41,450,346,44,393
1-Sep-24,294,80,137,374,500,482
8-Sep-24,185,619,449,665,83,489
15-Sep-24,335,255,435,49a&b,35,484
22-Sep-24,327,258,239,207,478,541
29-Sep-24,16,351,233,193,500,482
6-Oct-24,347,229,500,364,504,499
13-Oct-24,181a & b,587,414,407,399,393
20-Oct-24,335,11,386,399,83,233
27-Oct-24,334,83,710,407,453,531
3-Nov-24,294,107,681,665,478,258
10-Nov-24,137,229,435,540,626,83
17-Nov-24,414,80,686,91a & b,453,671
24-Nov-24,676,619,239,155,290,686
